time,Station,fmisid,Air temperature,Cloud amount,Dew-point temperature,Gust speed,Horizontal visibility,Precipitation amount,Precipitation intensity,Present weather (auto),Pressure (msl),Relative humidity,Snow depth,Wind direction,Wind speed
2024-07-11T00:00:00.000000Z,Vantaa Helsinki-Vantaan lentoasema,100968,15.6,0.0,13.0,4.5,65938.0,0.0,0.0,0.0,1022.9,84.0,,111.0,2.8
2024-07-11T00:00:00.000000Z,Helsinki Kumpula,101004,17.3,0.0,15.0,7.6,50000.0,0.0,0.0,0.0,1022.7,87.0,-1.0,111.0,4.9
2024-07-11T00:00:00.000000Z,Vihti Maasoja,100976,13.3,,11.7,2.1,,,,,1022.2,90.0,,84.0,0.8
2024-07-11T00:00:00.000000Z,Nurmijärvi Röykkä,101149,14.5,0.0,11.9,,50000.0,0.0,0.0,0.0,1023.4,84.0,-1.0,,
2024-07-11T00:00:00.000000Z,Kirkkonummi Mäkiluoto,100997,14.7,,13.4,9.3,,,,,,92.0,,100.0,8.7
2024-07-11T00:00:00.000000Z,Porvoo Kalbådagrund,101022,17.8,,15.2,10.3,,,,,1022.3,85.0,,101.0,9.7
2024-07-11T00:00:00.000000Z,Helsinki Kaisaniemi,100971,17.1,0.0,14.7,6.3,49500.0,0.0,0.0,0.0,1022.6,86.0,-1.0,102.0,3.9
2024-07-11T00:00:00.000000Z,Espoo Tapiola,874863,16.9,0.0,14.2,7.7,39959.0,0.0,0.0,0.0,1022.4,84.0,-1.0,91.0,4.2
2024-07-11T00:00:00.000000Z,Helsinki Helsingin majakka,101003,18.1,,15.6,12.1,,,,,1021.6,85.0,,108.0,11.0
2024-07-11T00:00:00.000000Z,Sipoo Itätoukki,105392,15.4,,14.7,8.7,,,,,,96.0,,98.0,8.0
2024-07-11T00:00:00.000000Z,Helsinki Vuosaari Käärmeniementie,103943,,7.0,,,,,,,,,,,
2024-07-11T00:00:00.000000Z,Mäntsälä Hirvihaara,103794,12.4,0.0,11.4,3.3,50000.0,0.0,0.0,,1023.3,93.0,-1.0,125.0,2.0
2024-07-11T00:00:00.000000Z,Järvenpää Sorto,103786,,8.0,,,,,,,,,,,
2024-07-11T00:00:00.000000Z,Helsinki Vuosaari satama,151028,17.0,,15.2,8.5,,,,,1022.8,89.0,,99.0,7.5
2024-07-11T00:00:00.000000Z,Hyvinkää Hyvinkäänkylä,101130,12.3,0.0,11.9,,50000.0,0.0,0.0,0.0,1023.2,97.0,-1.0,,
2024-07-11T00:00:00.000000Z,Porvoo Emäsalo,101023,16.4,,15.3,10.6,,,,,,93.0,,101.0,9.9
2024-07-11T00:00:00.000000Z,Helsinki Malmi lentokenttä,101009,16.8,0.0,14.5,6.4,50000.0,,,0.0,1022.7,86.0,,101.0,4.5
2024-07-11T00:00:00.000000Z,Porvoo Kilpilahti satama,100683,17.1,,14.6,5.0,,,,,,85.0,,95.0,3.5
2024-07-11T00:00:00.000000Z,Espoo Nuuksio,852678,15.3,0.0,12.9,5.2,50000.0,0.0,0.0,0.0,1022.5,86.0,-1.0,86.0,3.3
2024-07-11T00:00:00.000000Z,Porvoo Harabacka,101028,16.0,0.0,14.0,4.7,50000.0,0.0,0.0,0.0,1023.2,88.0,-1.0,105.0,3.0
2024-07-11T00:00:00.000000Z,Helsinki Harmaja,100996,16.1,0.0,14.3,8.9,16470.0,,,0.0,1022.7,89.0,,94.0,7.3
2024-07-11T00:10:00.000000Z,Sipoo Itätoukki,105392,15.5,,14.7,8.6,,,,,,95.0,,98.0,8.1
2024-07-11T00:10:00.000000Z,Helsinki Vuosaari satama,151028,17.1,,15.2,8.4,,,,,1022.7,89.0,,95.0,6.9
2024-07-11T00:10:00.000000Z,Kirkkonummi Mäkiluoto,100997,14.6,,13.4,9.4,,,,,,92.0,,102.0,8.7
